year,naics_name,avg_wage,avg_wage_moe
2015,"Cement, concrete, lime, & gypsum product manufacturing ",54772,15526.4
2015,Iron & steel mills & steel product manufacturing,82611.1,8257.4
2015,Ordnance,88888.4,8997.82
2015,"Structural metals, & boiler, tank, & shipping container manufacturing ",73957.9,25510.1
2015,Miscellaneous fabricated metal products manufacturing,64906,13721
2015,"Construction, & mining & oil & gas field machinery manufacturing ",96667.2,13086.6
2015,"Machinery manufacturing, n.e.c. or not specified",78500,14696.6
2015,"Communications, & audio & video equipment manufacturing",115184,15743.9
2015,"Electronic component & product manufacturing, n.e.c. ",138798,15093
2015,"Electric lighting & electrical equipment manufacturing, & other electrical component manufacturing, n.e.c.",85551.7,13991.6
2015,Aircraft & parts manufacturing,105057,9561.03
2015,Motor vehicles & motor vehicle equipment manufacturing,81908.8,5689.2
2015,Aerospace products & parts manufacturing,102454,12417.9
2015,"Sporting & athletic goods, & doll, toy & game manufacturing  ",83166.6,16865.5
2015,"Miscellaneous manufacturing, n.e.c.  ",86639.9,13055.2
2015,Not specified manufacturing industries,82741,27026
2015,Miscellaneous durable goods merchant wholesalers,81715.4,27438.1
2015,Miscellaneous nondurable goods merchant wholesalers,64883.6,11894.4
2015,"Drugs, sundries, & chemical & allied products merchant  wholesalers ",85247.8,13147.5
2015,Not specified wholesale trade,22027.8,2.68E-12
2015,Building material & supplies dealers,61946.2,20518.4
2015,"Health & personal care, except drug, stores ",54354.4,15079.2
2015,"Sporting goods, and hobby & toy stores ",59926.2,15063.6
2015,Bus service & urban transit,88618.8,36937.6
2015,Not specified retail trade,88818.3,20091.6
2015,"Periodical, book, & directory publishers",85921.8,10237.6
2015,"Telecommunications, except wired telecommunications carriers ",99823.5,11552.3
2015,"Other information services, except libraries & archives, & internet publishing & broadcasting & web search portals",147552,31289.6
2015,"Savings institutions, including credit unions ",120779,33270.5
2015,Nondepository credit & related activities,115776,12244.7
2015,Banking & related activities,102652,5486.39
2015,"Securities, commodities, funds, trusts & other financial investments",144605,13492.4
2015,Other consumer goods rental,66171.3,24154.8
2015,"Commercial, industrial & other intangible assets rental & leasing",98704.4,22646.8
2015,"Other professional, scientific & technical services ",71348.9,12603.5
2015,Services to buildings & dwellings (except cleaning during construction & immediately after construction),44484.2,15362.7
2015,Other administrative & other support services,80667.3,14282.8
2015,"Colleges, universities & professional schools, including junior colleges",59489.8,3105.33
2015,"Business, technical & trade schools and training",51615.7,9427.49
2015,Other schools & instruction and educational support services,49805.7,7906.78
2015,Offices of other health practitioners,27597,11299.3
2015,Other health care services,87337.8,9975.59
2015,"Residential care facilities, except skilled nursing facilities",34985.9,6499.51
2015,Amusement & Recreation,74320.9,20257.9
2015,Recreational vehicle parks & camps and rooming & boarding houses,116064,92719.5
2015,Restaurants & Food Services,41902.5,6056.34
2015,Automotive repair & maintenance,57001.7,15042.2
2015,Nail salons & other personal care services,56925.6,20560.2
2015,"Business, professional, political, & similar organizations",126806,40166.9
2015,"Civic, social, advocacy organizations, & grantmaking & giving services",60990.6,12747.7
2015,Executive offices & legislative bodies,73009.5,4346.67
2015,U. S. Army,66399,11900.9
2015,U. S. Air Force,71266.5,14475.1
2015,U. S. Navy,76866.4,14435.2
2015,U. S. Marines,72167.4,9960.84
2015,U. S Coast Guard,56336.9,31092.7
2015,U. S. Armed Forces: Branch Not Specified,59670.2,16144.7
2015,National security & international affairs,91808,6516.95
2015,Administration of environmental quality & housing programs,93020,20797.6
2015,Administration of economic programs & space research,99607.1,10792.5
2015,"Justice, public order, & safety activities ",72984,4737
2016,Construction,66236.8,7568.79
2016,Construction,66236.8,7568.79
2016,Construction,66236.8,7568.79
2016,Management of companies & enterprises,120663,20427.2
2016,Management of companies & enterprises,120663,20427.2
2016,Farming,86271.6,24746.8
2016,Animal production & aquaculture,36838.6,16649.8
2016,Support activities for agriculture & forestry,76114.5,39596.1
2016,Oil & gas extraction,118858,33556.3
2016,Support activities for mining,95091.5,19219.7
2016,Furniture & related product manufacturing,54311.4,15883.9
2016,Furniture & home furnishings stores,74848.2,46112.6
2016,Gasoline stations,58116.6,31828.4
2016,Air transportation,95223.7,18975.4
2016,Rail transportation,99089.5,13582.3
2016,Water transportation,82801.1,74907.2
2016,Truck transportation,60764.1,9024.59
2016,Pipeline transportation,82534.8,23148.4
2016,Scenic & sightseeing transportation,25189.7,5.83E-12
2016,Services incidental to transportation,75713.6,11388.4
2016,Postal Service,70408.5,18944.8
2016,Couriers & messengers,67001,11617.6
2016,Warehousing & storage,69928.2,17787.6
