year,soc_name,avg_wage,avg_wage_error
2015,"Nursing, psychiatric, & home health aides",30378.3,7395.17
2015,Physical therapist assistants & aides,16631.2,6954.42
2015,Massage therapists,42703.8,27989.9
2015,Dental assistants,245762,276880
2015,Medical assistants,35699.5,6736.23
2015,Veterinary assistants & laboratory animal caretakers,20458.1,8547.36
2015,Phlebotomists,54879.4,20432.8
2015,Firstline supervisors of correctional officers,99125.1,5.56E-11
2015,Firstline supervisors of police & detectives,73532.8,17403.9
2015,"Firstline supervisors of protective service workers, all other",104745,44217.3
2015,Firefighters,83679.8,14870.8
2015,"Bailiffs, correctional officers, & jailers",63113.7,14067.5
2015,Detectives & criminal investigators,93869,13241
2015,Police officers,67652.5,10832.5
2015,Animal control workers,96121.3,5.35E-12
2015,Private detectives & investigators,82188.6,20116.9
2015,Security guards & gaming surveillance officers,45025.6,9792.06
2015,Crossing guards,15481.1,8658.02
2015,Transportation security screeners,40476.5,8260.06
2015,Chefs & head cooks,27977.5,7804.69
2015,Firstline supervisors of food preparation & serving workers,37043.8,10091.8
2015,Cooks,17343.6,3798.28
2015,Food preparation workers,11355.8,4099.8
2015,Bartenders,16390,7711.69
2015,"Combined food preparation & serving workers, including fast food",9680.26,3547.62
2015,"Counter attendants, cafeteria, food concession, & coffee shop",18022.8,1.20E-11
2015,Waiters & waitresses,20562.5,3154.06
2015,"Food servers, nonrestaurant",5006.32,4.73E-13
2015,Dishwashers,16420.7,0
2015,"Hosts & hostesses, restaurant, lounge, & coffee shop",34425.8,67319.6
2015,Firstline supervisors of housekeeping & janitorial workers,65864.5,47509
2015,"Firstline supervisors of landscaping, lawn service, & groundskeeping workers",46850.2,25760.7
2015,Maids & housekeeping cleaners,26603.6,9243.06
2015,Pest control workers,39764.5,14391.9
2015,Grounds maintenance workers,17528.6,6450.01
2015,Firstline supervisors of personal service workers,5223.7,4293.39
2015,Animal trainers,7008.85,1.57E-12
2015,Nonfarm animal caretakers,25195.6,9581.61
2015,Gaming services workers,59706.3,19522.9
2015,Motion picture projectionists,45056.9,5.35E-12
2015,"Ushers, lobby attendants, & ticket takers",6007.58,3.26E-12
2015,Miscellaneous entertainment attendants & related workers,11513.2,8943.94
2015,"Morticians, undertakers, & funeral directors",30037.9,1.37E-11
2015,Barbers,25031.6,3.28E-12
2015,"Hairdressers, hairstylists, & cosmetologists",13334.2,7448.9
