year,geo_name,geo,avg_wage,avg_wage_moe
2014,Santa Clara County (Central)--San Jose City (East Central/East Valley) PUMA,79500US0608514,76136.9,19290.1
2014,"Watsonville & Scotts Valley Cities PUMA, CA",79500US0608701,83877.7,58370.1
2014,Santa Cruz County (South & Coastal)--Santa Cruz City PUMA,79500US0608702,72823.5,44445.3
2014,"Vallejo & Benicia Cities PUMA, CA",79500US0609501,62522.4,13328
2014,Solano County (Northeast)--Vacaville & Dixon Cities PUMA,79500US0609503,80548.1,67210
2014,"Sonoma County (South)--Petaluma, Rohnert Park & Cotati Cities PUMA",79500US0609702,63383.4,33263.6
2014,"Santa Rosa City PUMA, CA",79500US0609703,34618.9,12354
2014,Ventura County (Southeast)--Simi Valley City PUMA,79500US0611101,118573,35473.5
2014,"Thousand Oaks City PUMA, CA",79500US0611102,117325,22935.9
2014,Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA,79500US0611104,76122.1,25668.5
2014,Ventura County (South Central)--Camarillo & Moorpark Cities PUMA,79500US0611106,101737,20831.4
2014,"Davis, Woodland & West Sacramento Cities PUMA, CA",79500US0611300,47734.1,20997.8
2014,Larimer County (South)--Loveland City PUMA,79500US0800102,78804,28673.4
2014,"Fort Collins City PUMA, CO",79500US0800103,62695.8,17069
2014,"Eagle, Summit, Grand & Jackson Counties PUMA",79500US0800400,64629.5,34884.2
2014,"DRCOG Mountains--Jefferson (West), Boulder (West), Clear Creek & Gilpin Counties PUMA",79500US0800801,100054,24868.7
2014,"Longmont City & Erie Town PUMA, CO",79500US0800802,104425,39924.7
2014,Boulder County (Central)--Boulder City PUMA,79500US0800803,95348.4,28626.1
2014,"Broomfield, Jefferson (Northeast), Adams (Northwest) & Boulder (Southeast) Counties PUMA, CO",79500US0800804,118340,22697.5
2014,Adams (West) & Jefferson (Far Northeast) Counties--Westminster & Northglenn Cities PUMA,79500US0800805,122326,69521
2014,"Thornton & Federal Heights Cities PUMA, CO",79500US0800806,57408.1,16384.8
2014,"Commerce City & Brighton Cities PUMA, CO",79500US0800807,81618.8,28475.7
2014,Arapahoe County (West)--Aurora (Southwest) & Centennial (East) Cities PUMA,79500US0800808,91953,21478.5
2014,Arapahoe (West) & Adams (South Central) Counties--Aurora City (North Central) PUMA,79500US0800809,94371.1,24798.2
2014,Arapahoe (Northwest) & Adams (Southwest) Counties--Aurora City (Northwest) PUMA,79500US0800810,59328.7,59070.6
2014,Arapahoe County (Southwest)--Centennial (West & Central) & Greenwood Village Cities PUMA,79500US0800811,84537.2,11382.2
2014,"Denver City (Northeast) PUMA, CO",79500US0800812,103035,36534.6
2014,Denver City (Northwest) PUMA,79500US0800813,70206,16974
2014,Denver City (South Central) PUMA,79500US0800814,66370.2,16853.3
2014,"Denver City (Southeast) PUMA, CO",79500US0800815,80311.8,23512.7
2014,Jefferson County (Northeast)--Arvada City PUMA,79500US0800817,108863,30274.4
2014,"Jefferson County (East Central)--Lakewood (North), Wheat Ridge & Golden Cities PUMA",79500US0800818,59709.9,45781.3
2014,"Lakewood City (South) & Dakota Ridge PUMA, CO",79500US0800819,209265,123420
2014,"Arapahoe (West) & Jefferson (East) Counties--Littleton, Englewood Cities & Columbine PUMA",79500US0800820,60036.9,14852.3
2014,Douglas (West) & Jefferson (Southeast) Counties--Highlands Ranch & Chatfield Park PUMA,79500US0800821,134895,39122.1
2014,Douglas County (South)--Castle Rock Town PUMA,79500US0800822,105654,23275.7
2014,Douglas (Northeast) & Elbert (West) Counties--Parker Town & The Pinery PUMA,79500US0800823,132061,41118
